Level,Skenario,Instruksi Plan,Model,session,Keberhasilan Pembuatan Plan,Keberhasilan Plan Jarak Terpendek,Keberhasilan Analisis Objek,Keberhasilan Navigasi,Keberhasilan Penambahan/Intervensi User,Total Waktu Session (s),Total Token Session,Jumlah call tool,Jumlah Turn User
sulit,"Skenario 3 (HITL Path - Intervensi tipe B): Inspeksi 6 objek (1 APAR norma, 1 APAR di lantai, 2 APAR selang tidak terpasang pada clip body, 1 stop kontak normal, 1 tong sampah berserakan) kondisi campuran, Dengan intervensi user tipe B (saat robot sampai di salah satu APAR yang memiliki anomali 'selang tidak terpasang pada clip body', user menginstruksikan robot untuk maju mendekat 0,5 meter sebelum mengambil gambar),","tolong periksa empat APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","gemini-3,1-pro-preview",756,TRUE,TRUE,5/6,6/6,TRUE,"893,42",475.459,24,10
mudah,"Skenario 1 (Happy Path): Inspeksi 1 APAR berkondisi normal, Tanpa intervensi user,",tolong inspeksi satu APAR terdekat di lantai 9,"qwen3,5:27b",650,TRUE,TRUE,1/1,1/1,-,"105,29",25.678,5,2
mudah,"Skenario 2 (Anomaly Path): Inspeksi 1 APAR dengan anomali 'apar di lantai', Tanpa intervensi user,",tolong periksa kondisi satu APAR terdekat di lantai 9,"qwen3,5:27b",724,TRUE,TRUE,0/1,1/1,-,"100,85",31.529,6,2
mudah,"Skenario 3 (HITL Path - Intervensi tipe A): Inspeksi 1 APAR dengan anomali 'selang tidak terpasang pada clip body', Dengan intervensi user mengubah plan sebelum dimulai (meminta robot duduk setelah inspeksi selesai),",tolong inspeksi satu APAR terdekat di lantai 9,"qwen3,5:27b",726,TRUE,TRUE,0/1,1/1,TRUE,"186,36",60.081,7,4
sedang,"Skenario 1 (Happy Path): Inspeksi 3 objek berbeda (1 APAR, 1 stop kontak, 1 tong sampah) yang semuanya normal, Tanpa intervensi user,","tolong lakukan inspeksi pada satu APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","qwen3,5:27b",732,TRUE,TRUE,3/3,3/3,-,"374,77",99.721,16,4
sedang,"Skenario 2 (Anomaly Path): Inspeksi 3 objek berbeda (1 APAR dengan anomali 'selang tidak terpasang pada clip body', 1 stop kontak dengan anomali 'terdapat steker', 1 tong sampah dengan anomali 'tong sampah berantakan banyak sampah'), Tanpa intervensi user,","inspeksi satu APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","qwen3,5:27b",735,TRUE,TRUE,2/3,3/3,-,"274,29",102.818,16,4
sedang,"Skenario 3 (HITL Path - Intervensi tipe C): Inspeksi 3 objek berbeda (1 APAR dengan anomali 'selang tidak terpasang pada clip body', 1 stop kontak normal, 1 tong sampah dengan anomali 'tong sampah tidak tiga'), Dengan intervensi user mengubah plan di tengah misi (saat robot di stop kontak, user minta langsung lompat ke tong sampah),","tolong periksa satu APAR, dan satu stop kontak terdekat di lantai 9
","qwen3,5:27b",747,TRUE,TRUE,3/3,3/3,TRUE,"397,54",108.792,15,5
sulit,"Skenario 1 (Happy Path): Inspeksi 6 objek (2 APAR, 2 stop kontak, 2 tong sampah), Kondisi: 3 objek normal, 3 objek anomali (1 APAR di lantai, 1 steker rusak, 1 tong sampah tidak tiga), Tanpa intervensi user,","tolong lakukan inspeksi ke dua APAR, dua stop kontak, dan dua tong sampah terdekat di lantai 9","qwen3,5:27b",748,TRUE,FALSE,4/6,6/6,-,"1.550,64",231.210,24,7
sulit,"Skenario 2 (HITL Path - Intervensi tipe A): Inspeksi 6 objek target awal (1 APAR norma, 1 APAR di lantai, 1 APAR selang tidak terpasang pada clip body, , 1 stop kontak steker rusak, 1 tong sampah hanya dua) kondisi campuran, Dengan intervensi user mengubah plan sebelum dimulai (membatalkan 1 stop kontak dan menambah 1 tong sampah dengan anomali 'tong sampah berantakan banyak sampah'),","tolong inspeksi tiga APAR, dua stop kontak, dan satu tong sampah terdekat di lantai 9","qwen3,5:27b",749,TRUE,FALSE,3/6,6/6,TRUE,"1.010,24",224.071,22,8
sulit,"Skenario 3 (HITL Path - Intervensi tipe B): Inspeksi 6 objek (1 APAR norma, 1 APAR di lantai, 2 APAR selang tidak terpasang pada clip body, 1 stop kontak normal, 1 tong sampah berserakan) kondisi campuran, Dengan intervensi user tipe B (saat robot sampai di salah satu APAR yang memiliki anomali 'selang tidak terpasang pada clip body', user menginstruksikan robot untuk maju mendekat 0,5 meter sebelum mengambil gambar),","tolong periksa empat APAR, satu stop kontak, dan satu tong sampah terdekat di lantai 9","qwen3,5:27b",750,TRUE,FALSE,3/6,6/6,TRUE,"1.497,17",376.747,28,10
